frameId;swimmerId;swimmerName;lane;cumul;eventId;eventX;eventY;event;TempsVideo (s);Temps (s);distance (m);tempo (s);frequence (cylce/min);amplitude (m);vitesse (m/s);anno_type
0;0;A;a;26.31;0;26.3057;4.6542;track;0;0;26.31;;;;;click
92;0;A;a;26.25;1;26.2466;7.2415;track;3.68;3.68;26.25;;;;;click
136;0;A;a;25.97;2;25.9743;10.0243;track;5.43;5.43;25.97;;;;;click
262;0;A;a;26.08;3;26.0812;12.8641;track;10.48;10.48;26.08;;;;;click
619;0;A;a;23.27;4;23.2726;12.5794;dive;24.78;24.78;23.27;;;;;click
718;0;A;a;19.83;5;19.8349;12.8417;end;28.72;28.72;19.83;;;;;click
719;0;A;a;19.5;5.5;19.5;12.8;figure;29.7;29.7;19.5;;;;;manual
781;0;A;a;19.04;6;19.0358;12.7942;track;31.25;31.25;19.04;;;;;click
790;0;A;a;18.6;6.5;18.6;11.4;figure;34.7;34.7;18.6;;;;;manual
800;0;A;a;18.5;6.7;18.5;11.2;figure;38.5;38.5;18.5;;;;;manual
1007;0;A;a;18.33;7;18.3256;11.9775;figure;40.29;40.29;18.33;;;;;click
1098;0;A;a;17.16;8;17.1607;13.4803;track;43.94;43.94;17.16;;;;;click
1171;0;A;a;16.47;9;16.4672;13.6213;track;46.85;46.85;16.47;;;;;click
1180;0;A;a;16.5;9.1;16.5;13.6;figure;47.3;47.3;16.5;;;;;manual
1231;0;A;a;15.83;10;15.8334;13.6138;track;49.23;49.23;15.83;;;;;click
1250;0;A;a;14;10.1;14;13.6;figure;51.8;51.8;14;;;;;manual
1307;0;A;a;13.89;11;13.8865;13.6487;track;52.29;52.29;13.89;;;;;click
1366;0;A;a;13.09;12;13.0932;13.0289;track;54.64;54.64;13.09;;;;;click
1410;0;A;a;11.81;13;11.8085;12.686;track;56.38;56.38;11.81;;;;;click
1569;0;A;a;11.06;14;11.0578;12.9221;track;62.75;62.75;11.06;;;;;click
1763;0;A;a;10.2;15;10.1955;12.6162;track;70.53;70.53;10.2;;;;;click
1872;0;A;a;10.91;16;10.9055;11.4;track;74.88;74.88;10.91;;;;;click
1942;0;A;a;11.59;17;11.5896;10.5928;track;77.69;77.69;11.59;;;;;click
2077;0;A;a;12.76;18;12.7607;10.6206;track;83.09;83.09;12.76;;;;;click
2159;0;A;a;13.46;19;13.465;9.6504;track;86.35;86.35;13.46;;;;;click
2294;0;A;a;14.77;20;14.7671;9.7777;track;91.75;91.75;14.77;;;;;click
2396;0;A;a;16.54;21;16.5381;9.7167;track;95.84;95.84;16.54;;;;;click
2452;0;A;a;17.68;22;17.6849;9.7714;track;98.07;98.07;17.68;;;;;click
2731;0;A;a;17.98;23;17.9776;10.9291;track;109.23;109.23;17.98;;;;;click
2802;0;A;a;18.54;24;18.5391;11.5704;track;112.1;112.1;18.54;;;;;click
3027;0;A;a;16.89;25;16.8933;12.2788;track;121.1;121.1;16.89;;;;;click
3148;0;A;a;15.57;26;15.5713;12.3683;track;125.9;125.9;15.57;;;;;click
3231;0;A;a;14.09;27;14.0925;12.17;track;129.25;129.25;14.09;;;;;click
3406;0;A;a;12.88;28;12.8753;12.482;track;136.22;136.22;12.88;;;;;click
3536;0;A;a;10.98;29;10.9801;12.9205;track;141.45;141.45;10.98;;;;;click
3624;0;A;a;10.21;30;10.2112;12.5494;track;144.96;144.96;10.21;;;;;click
3727;0;A;a;8.85;31;8.8514;12.3604;track;149.07;149.07;8.85;;;;;click
3845;0;A;a;6.94;32;6.9433;12.0679;track;153.78;153.78;6.94;;;;;click
3919;0;A;a;5.81;33;5.8092;11.9866;track;156.76;156.76;5.81;;;;;click
4135;0;A;a;5.3;34;5.2998;11.9963;track;165.41;165.41;5.3;;;;;click
4304;0;A;a;5.98;35;5.9769;12.9742;track;172.17;172.17;5.98;;;;;click
